Mean,High,Low,Open,Ma,Rsi,CCI,adx,Macd,atr,Chaiken,HighLow,Aligator,AC,AD,Close,Date,Dt,Mom-BollObv,Adx-Boll
6716,6751,6681,0.89747,0.89857,41.57926,-71.52753,31.22251,-0.00079,0.00122,1644747,-7114.52382,0.89857,0.00034,-1938101.852,0.8975,2018.12.26 10:00:00,1,1,1
6725,6785,6665,0.89699,0.89843,39.86226,-91.71038,31.90903,-0.00082,0.00124,1641784,-6582.8249,0.89843,0.00017,-1939385.819,0.89699,2018.12.26 11:00:00,1,1,1
6735.5,6779,6692,0.89768,0.89836,43.2402,-48.66937,32.53314,-0.00077,0.00126,1645905,-5565.7954,0.89836,4.00E-05,-1936212.175,0.89769,2018.12.26 12:00:00,1,1,1
6742.5,6797,6688,0.89688,0.89822,40.47773,-85.62308,32.46293,-0.00079,0.00127,1641275,-5482.46175,0.89822,1.00E-05,-1940842.175,0.89688,2018.12.26 13:00:00,1,1,1
6762.5,6837,6688,0.8981,0.89821,45.93973,-18.84851,31.40632,-0.0007,0.00132,1645549,-4867.51389,0.89821,8.00E-05,-1938117.142,0.8981,2018.12.26 14:00:00,1,1,1
6812.5,6879,6746,0.89758,0.89816,44.1275,-45.03899,29.38173,-0.00067,0.00134,1636772,-5481.97555,0.89816,0.00026,-1945310.322,0.89758,2018.12.26 15:00:00,1,1,1
6786.5,6823,6750,0.89796,0.89814,45.769,-21.19709,27.5412,-0.0006,0.00127,1643384,-5502.55178,0.89814,0.00034,-1943589.391,0.89796,2018.12.26 16:00:00,1,1,1
6905,7043,6767,0.89996,0.8983,53.34408,102.22499,26.4719,-0.00038,0.00135,1647215,-4989.62135,0.8983,0.00051,-1941063.151,0.89996,2018.12.26 17:00:00,1,1,1
7019,7079,6959,0.8999,0.89845,53.1104,113.74599,26.16095,-0.00021,0.0013,1641217,-4987.70542,0.89845,0.00076,-1943962.185,0.8999,2018.12.26 18:00:00,1,1,1
6931,7044,6818,0.89823,0.89843,47.0826,12.51401,24.03302,-0.00021,0.00135,1633602,-6030.91424,0.89843,0.00075,-1951240.238,0.89823,2018.12.26 19:00:00,1,1,1
6850,6893,6807,0.89868,0.89845,48.69353,67.35727,21.93289,-0.00017,0.00135,1639924,-6207.49568,0.89845,0.00055,-1948740.842,0.89867,2018.12.26 20:00:00,1,1,1
6814.5,6887,6742,0.89745,0.89836,44.72924,-45.32119,21.11768,-0.00023,0.00131,1635656,-6837.71611,0.89836,0.00035,-1952832.236,0.89745,2018.12.26 21:00:00,1,1,1
6786,6830,6742,0.89809,0.89834,47.13687,24.00841,20.37659,-0.00023,0.00125,1639503,-6778.17864,0.89834,-2.00E-05,-1950733.872,0.8981,2018.12.26 22:00:00,1,1,1
6829.5,6868,6791,0.89848,0.89835,48.65435,62.04047,18.77577,-0.00019,0.00123,1641884,-6362.16144,0.89835,-0.00037,-1949342.378,0.89852,2018.12.26 23:00:00,1,1,1
6789.5,6874,6705,0.898,0.89831,46.67795,-6.89655,18.09181,-0.0002,0.00125,1640266,-5923.25684,0.89831,-0.0005,-1949275.361,0.89793,2018.12.27 00:00:00,1,1,1
6817,6865,6769,0.89817,0.8983,47.51273,13.3913,17.47002,-0.00019,0.00123,1648433,-5543.52155,0.8983,-0.00038,-1949615.652,0.89815,2018.12.27 01:00:00,1,1,1
6827,6859,6795,0.89802,0.89827,47.05566,-0.24012,16.90476,-0.00019,0.00113,1644431,-5656.02967,0.89827,-0.00017,-1952742.215,0.89802,2018.12.27 02:00:00,1,1,1
6841,6882,6800,0.89858,0.8983,49.2633,64.53779,15.47074,-0.00015,0.00114,1648021,-5367.38098,0.8983,6.00E-05,-1951253.678,0.89858,2018.12.27 03:00:00,1,1,1
